, Tower - Bronze, Tower - Palisades, Galley - Bronze, Frigate - Bronze, Battleship - Bronze, Simple Bowman, Chariot Archer, War Elephant, Stone Thrower, Short Sword, Phalanx, Ram, Catapult, Bronze Cavalry, Elephant Archer, Javelin, Citizen, Female Citizen, Alexander the Great, Hannibal
 Phalanx,0.056685714285714284,0.186,0.6940298507462687,0.4722222222222222,0.062029190207156304,2.5380116959064325,0.48241518829754126,0.26956521739130435,1.3247863247863245,2.1627906976744184,1.0,,0.8205882352941177,0.5112443778110944,0.2962222222222222,1.5608391608391607,11.446153846153846,11.446153846153846,0.1882591093117409,0.03931159420289856
 Ram,2.619047619047619,8.59375,,,,,,,,,,,,,,,,,,
 Catapult,2.3314285714285714,20.4,2.5373134328358207,7.834101382488481,1.473420647149461,35.78947368421053,2.0987654320987654,0.2982456140350877,3.072289156626506,1.0542635658914727,1.2186379928315412,,1.0,0.689655172413793,0.3333333333333333,3.7661538461538457,52.30769230769231,52.30769230769231,0.13765182186234817,0.022486772486772486
 Bronze Cavalry,0.10163809523809524,0.3335,1.244402985074627,0.8315412186379928,0.10922787193973635,4.522417153996101,1.2004357298474946,0.3866666666666667,3.13960113960114,9.306976744186047,1.9560117302052784,,1.4500000000000002,1.0,0.23199999999999998,9.691452991452993,17.102564102564102,17.102564102564102,0.2236360131096973,0.04669887278582931
 Elephant Archer,0.05714285714285714,0.1875,2.7985074626865667,0.967741935483871,0.25423728813559326,25.263157894736842,5.7142857142857135,3.2608695652173916,0.2564102564102564,1.178294573643411,3.3758439609902475,,3.0,4.310344827586207,1.0,28.846153846153843,46.15384615384616,46.15384615384616,0.7374204742625795,0.15398550724637683
 Javelin,0.005447619047619048,0.017875,0.26679104477611937,0.04659498207885304,0.01224105461393597,0.8109161793372319,0.14685709674816427,0.4317632850241546,0.05555555555555555,1.247093023255814,0.6406810035842294,,0.2655228758169935,0.1031837022665138,0.03466666666666667,1.0,4.4,4.4,0.04774436090225564,0.009969806763285023
 Citizen,0.004952380952380953,0.01625,0.1212686567164179,0.0582437275985663,0.01020087884494664,0.38011695906432746,0.10620915032679737,0.023550724637681156,0.13888888888888887,0.050387596899224806,0.08736559139784945,,0.01911764705882353,0.05847076461769116,0.021666666666666664,0.22727272727272727,1.0,1.0,0.018796992481203006,0.00392512077294686
 Female Citizen,0.004952380952380953,0.01625,0.1212686567164179,0.0582437275985663,0.01020087884494664,0.38011695906432746,0.10620915032679737,0.023550724637681156,0.13888888888888887,0.050387596899224806,0.08736559139784945,,0.01911764705882353,0.05847076461769116,0.021666666666666664,0.22727272727272727,1.0,1.0,0.018796992481203006,0.00392512077294686
 Alexander the Great,0.2634666666666667,0.8645,12.902985074626868,3.0985663082437274,0.407015065913371,23.79084967320261,11.30065359477124,5.011594202898551,7.388888888888889,8.376937984496124,5.311827956989247,,7.264705882352941,4.471551724137932,1.3560784313725491,20.94488188976378,53.2,53.2,1.0,0.20881642512077292
 Hannibal,1.2617142857142858,4.14,61.791044776119406,14.838709677419354,1.9491525423728815,113.93188854489166,54.11764705882352,23.999999999999996,35.38461538461539,40.11627906976744,25.437788018433178,,44.47058823529412,21.413793103448274,6.4941176470588236,100.30284675953968,254.76923076923077,254.76923076923077,4.788895315211105,1.0
