, Tower - Palisades, Tower - Imperial, Battleship - Royal, Frigate - Royal, Galleon - Royal, Bombard, Halberdier, Sharpshooter, Hand Cannoneer, Dragoon, Grenadier, Serpentine, Bronze Cannon, Imperial Cuirassier, Elite Guard, Partisan, Citizen, Female Citizen, Otto von Bismarck, Napoleon
 Grenadier,0.715,0.034354354354354355,0.012640883977900553,0.05290418054014057,0.21666666666666665,1.5281632653061226,1.8521904761904762,0.3631746031746032,2.0114285714285716,1.269230769230769,1.0,0.38831677205660947,0.16507936507936521,0.05733672603901611,0.22922448979591836,2.6399999999999997,35.2,35.2,0.12839506172839504,0.021388374745265202
 Serpentine,124.5375,2.3212954333643996,0.8059723756906078,3.2981043075827703,1.3478084415584417,5.056805399325084,1.482589285714286,10.685328185328185,4.561813186813187,1.2473707932692308,2.5752171215880892,1.0,8.452566964285717,0.35862595419847326,1.9230925324675328,13.685439560439558,319.3269230769231,319.3269230769231,0.15040760869565217,0.018806061429736343
 Bronze Cannon,1.008,0.04843243243243243,0.008415469613259669,0.07044025157232704,0.09545454545454546,0.9205479452054796,0.36,96.0,1.2871508379888268,0.7159090909090908,6.057692307692303,0.1183072555621575,1.0,0.015959287531806615,9.600000000000001,23.261538461538464,15.50769230769231,15.50769230769231,0.05090909090909091,0.008480565371024734
 Imperial Cuirassier,1.965,0.09441441441441441,0.08685082872928176,0.7269700332963374,0.7443181818181818,15.452162516382698,0.793939393939394,78.796992481203,26.420168067226893,0.5447956273764258,17.44082840236687,2.7884206045125586,62.65943877551021,1.0,42.10714285714286,362.7692307692308,120.9230769230769,120.9230769230769,0.33080808080808083,0.055106848393067474
 Elite Guard,0.6805555555555555,0.032699366032699365,0.013406998158379374,0.11222098902454064,0.3093434343434343,1.846153846153846,2.041666666666667,0.9227871939736348,5.9393939393939394,0.6496212121212122,4.362535612535613,0.5199957792550385,0.10416666666666666,0.02374893977947413,1.0,13.192307692307692,25.128205128205128,25.128205128205128,0.12373737373737373,0.020612485276796228
 Partisan,0.3611111111111111,0.017350684017350685,0.0004788213627992633,0.004007892465162166,0.08207070707070706,0.05306122448979592,0.41269841269841273,0.1375661375661376,0.761904761904762,0.20833333333333334,0.37878787878787884,0.07307036033323297,0.04298941798941799,0.00275657336726039,0.07580174927113703,1.0,13.333333333333334,13.333333333333334,0.04377104377104377,0.00729149139043132
 Citizen,0.01625,0.0007807807807807809,0.0009576427255985269,0.006011838697743248,0.01231060606060606,0.015918367346938776,0.011607142857142856,0.04126984126984126,0.05714285714285714,0.020833333333333332,0.028409090909090908,0.00313158687142427,0.06448412698412698,0.008269720101781172,0.03979591836734694,0.075,1.0,1.0,0.003282828282828283,0.000546861854282349
 Female Citizen,0.01625,0.0007807807807807809,0.0009576427255985269,0.006011838697743248,0.01231060606060606,0.015918367346938776,0.011607142857142856,0.04126984126984126,0.05714285714285714,0.020833333333333332,0.028409090909090908,0.00313158687142427,0.06448412698412698,0.008269720101781172,0.03979591836734694,0.075,1.0,1.0,0.003282828282828283,0.000546861854282349
 Otto von Bismarck,4.95,0.23783783783783782,0.21878453038674034,1.8312985571587124,7.5,36.73469387755102,8.839285714285715,12.571428571428571,17.40659340659341,3.569711538461538,7.788461538461538,6.648599819331527,19.642857142857142,3.0229007633587788,8.081632653061225,22.846153846153847,304.6153846153846,304.6153846153846,1.0,0.16658253407370016
 Napoleon,29.715000000000003,1.4277477477477476,1.3133701657458563,10.993340732519423,45.02272727272727,274.45224489795925,53.0625,75.46666666666665,104.4923076923077,21.429086538461537,46.754370629370634,53.17434507678409,117.91666666666667,18.146564885496183,48.51428571428572,137.14615384615385,1828.6153846153848,1828.6153846153848,6.003030303030303,1.0
