, Tower - Palisades, AA Missile Tower, Tower - Laser, Titan Bomber, Talon Fighter/Bomber, B-122 Wyvern Bomber, Jackal Fighter, Avenger Fighter/Bomber, Battleship - Leviathan, Frigate - Juggernaut, Cruiser - Sagittarian, Colossus Artillery, Sentinel, Gladiator Tank, Minotaur, Thor AT Gun, Furies, Pandora, Hyperion, Paladin Cannon, Skywatcher AA, Citizen, Female Citizen, Sea King, Reaper Gunship, Spectre AT Helicopter, Ares, Sub - Nautilus, Sub - Trident, Alexi Septimus, Sergei Molotov
 Cruiser - Sagittarian,,,,0.040303030303030306,8.294638250585386,0.491764705882353,,6.193693693693693,,,,,,,,,,,,,,,,,55.733334163824715,7.6000000000000005,6.8309523809523816,,,,
 Colossus Artillery,60.0,,0.35714285714285715,,,,,,0.09727191413237925,0.20238095238095236,,1.0,0.2688172043010753,0.1851851851851852,0.13709677419354838,0.27586206896551724,0.07407407407407408,0.4061895551257253,0.03571428571428572,0.11234567901234567,,153.84615384615387,153.84615384615387,,,,,,,0.01763668430335097,0.004058441558441559
 Sentinel,1.55,,0.03374149659863946,,,,,,0.011750305997552021,0.045714285714285714,,3.7199999999999998,1.0,0.009090909090909092,0.23500000000000001,1.8671328671328669,0.27555555555555555,0.01953867028493894,0.04155844155844156,0.4376470588235294,,114.46153846153847,114.46153846153847,,0.020571428877966737,0.04872727272727272,0.16153846153846155,,,0.11247165532879819,0.028881987577639757
 Gladiator Tank,5.5,,0.11972789115646258,,,,,,0.036719706242350054,0.761904761904762,,5.3999999999999995,109.99999999999999,1.0,0.02777777777777778,0.780370072405471,0.5817777777777778,3.933566433566437,0.39628099173553727,1.8300000000000005,,507.6923076923077,507.6923076923077,,,,,,,0.5986394557823129,0.15372670807453415
 Minotaur,2.4,,0.040336134453781515,,,,,,0.04525455688246386,0.380952380952381,,7.294117647058823,4.25531914893617,36.0,1.0,3.262938457355207,0.5333333333333333,1.202730523350309,0.1417112299465241,0.5949367088607594,,1107.6923076923078,1107.6923076923078,,,,0.26851851851851855,,,0.6095238095238096,0.12244897959183673
 Thor AT Gun,1.43,,0.03112925170068027,,,,,,0.024908200734394124,0.02880952380952381,,3.625,0.5355805243445694,1.2814432989690716,0.3064722222222222,1.0,0.27540740740740743,0.7930007446016378,0.5212765957446809,0.41147132169576056,,44.00000000000001,44.00000000000001,,,,,,,0.10808767951625095,0.027756211180124224
 Furies,6.749999999999999,,0.14693877551020407,,,,,,0.08261933904528763,0.6428571428571429,,13.499999999999998,3.629032258064516,1.7188693659281893,1.875,3.630984400215169,1.0,3.746762057481189,0.48701298701298695,1.5882352941176472,,415.38461538461536,415.38461538461536,,,,,,,0.761904761904762,0.19565217391304351
 Pandora,24.566666666666666,,0.03342403628117914,,,,,,0.02696614324521301,0.0993894993894994,,2.461904761904762,51.18055555555556,0.254222222222222,0.8314414414414413,1.2610328638497657,0.2668971193415638,1.0,0.09148936170212767,0.3471819645732689,,377.94871794871796,377.94871794871796,,,,0.22611111111111112,,,0.2971025447215923,0.0319047619047619
 Hyperion,10.999999999999998,,0.13293051359516617,,,,,,0.10629388649101333,0.9700176366843033,,27.999999999999996,24.0625,2.5234619395203333,7.056603773584904,1.9183673469387754,2.0533333333333337,10.930232558139535,1.0,2.9615384615384617,,3553.846153846154,3553.846153846154,,,,,0.15075868820362212,0.5545774647887323,1.4379084967320261,0.29324644549763035
 Paladin Cannon,509.99999999999994,,5.7142857142857135,,,,,,1.0948523647765873,7.523809523809524,,8.901098901098901,2.28494623655914,0.5464480874316938,1.6808510638297873,2.4303030303030306,0.6296296296296297,2.8803339517625233,0.33766233766233766,1.0,,1307.6923076923076,1307.6923076923076,,,,,,,0.3997648442092886,0.0740418118466899
 Skywatcher AA,,,,0.0052800734618916444,4.14912309185437,0.04831932773109243,,7.84875784875785,,,,,,,,,,,,,,,,,8.944444577727054,2.439393939393939,20.550925925925924,,,,
 Citizen,0.01625,,0.0003537414965986394,,,,,,0.0002651978784169726,0.0015476190476190477,,0.0065,0.008736559139784945,0.00196969696969697,0.0009027777777777777,0.022727272727272724,0.0024074074074074076,0.0026458616010854815,0.0002813852813852814,0.0007647058823529412,,1.0,1.0,,,,,,,0.0009826152683295542,0.00025232919254658385
 Female Citizen,0.01625,,0.0003537414965986394,,,,,,0.0002651978784169726,0.0015476190476190477,,0.0065,0.008736559139784945,0.00196969696969697,0.0009027777777777777,0.022727272727272724,0.0024074074074074076,0.0026458616010854815,0.0002813852813852814,0.0007647058823529412,,1.0,1.0,,,,,,,0.0009826152683295542,0.00025232919254658385
 Sea King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Reaper Gunship,,0.09374999860301617,,,,,,,,,0.01794258346469209,,48.61111038674913,,,,,,,,0.11180124057005653,,,,1.0,0.5454545373266396,1.0416666511446242,,,,
 Spectre AT Helicopter,,0.22916666666666669,,,,,,,,,0.13157894736842105,,20.522388059701495,,,,,,,,0.4099378881987578,,,,1.8333333606521285,1.0,1.780952380952381,,,,
 Ares,,0.20207253886010365,,,,,,,,,0.146392471244336,,6.19047619047619,,3.7241379310344827,,,4.422604422604422,,,0.04865960801982429,,,,0.9600000143051146,0.5614973262032086,1.0,,,,
 Sub - Nautilus,,,,,,,,,,0.42857142857142866,,,,,,,,,6.633116883116883,,,,,,,,,1.0,,,
 Sub - Trident,4.266666666666667,,0.09287981859410431,,,,,,,,,,,,,,,,1.8031746031746034,,,,,,,,,,,,
 Alexi Septimus,16.5375,,0.36000000000000004,,,,,,0.20241738066095472,1.575,,56.7,8.891129032258064,1.6704545454545454,1.640625,9.251748251748252,1.3125,3.365841248303935,0.6954545454545454,2.501470588235294,,1017.6923076923076,1017.6923076923076,,,,,,,1.0,0.25679347826086957
 Sergei Molotov,64.4,,1.401904761904762,,,,,,0.788249694002448,6.133333333333334,,246.39999999999995,34.62365591397849,6.505050505050505,8.166666666666668,36.02797202797203,5.111111111111111,31.343283582089555,3.41010101010101,13.505882352941176,,3963.076923076923,3963.076923076923,,,,,,,3.8941798941798944,1.0
