, Tower - Palisades, Space Turret, Tower - Space, AA Missile Tower, Titan Bomber, B-122 Wyvern Bomber, Avenger Fighter/Bomber, Phoenix Fighter/Bomber, Nebula Fighter, Planetary Fighter, Battleship - Leviathan, Frigate - Juggernaut, Cruiser - Sagittarian, Colossus Artillery, Paladin Cannon, Skywatcher AA, Hercules AT Gun, Zeus, Minotaur II, Hyperion II, Pandora II, Centurion Tank, Watchman, Citizen, Female Citizen, Reaper Gunship, Sea King II, Spectre AT Helicopter, Ares II, Sub - Hammerhead, Sub - Triton, Khan Sun Do, Hu Kwan Do, Space Capital Ship, Space Corvette, Space Fighter
 Battleship - Leviathan,32.68,,0.679064935064935,,,,,,,,1.0,7.780952380952381,,10.280459770114941,0.9133651551312649,,24.89048811013767,4.83416149068323,16.16869918699187,6.0888,22.868181818181817,15.155942028985507,24.431818181818183,3770.7692307692314,3770.7692307692314,,,,,,,3.203921568627451,0.5603566529492456,,,
 Frigate - Juggernaut,4.199999999999999,,0.08727272727272728,,,,,,,,0.12851897184822522,1.0,,4.9411764705882355,0.1329113924050633,,18.33639705882353,0.5347826086956522,1.9207317073170733,0.6216,6.204545454545453,0.7304347826086957,6.204545454545455,646.1538461538461,646.1538461538461,,,,,1.3263157894736841,,0.4117647058823529,0.07201646090534979,,,
 Cruiser - Sagittarian,,,,,0.040303030303030306,0.491764705882353,6.193693693693693,6.11379259909317,,4.4,,,,,,,,,,,,,,,,55.733334163824715,,7.6000000000000005,4.25037037037037,,,,,,,3.088669950738916
 Colossus Artillery,60.0,,0.3409090909090909,,,,,,,,0.09727191413237925,0.20238095238095236,,1.0,0.11234567901234567,,0.17123287671232876,0.026374680306905374,0.09143518518518519,0.02523076923076923,0.2556818181818182,0.10026666666666666,0.09558823529411765,153.84615384615387,153.84615384615387,,,,,,,0.011111111111111112,0.0017636684303350971,,,
 Paladin Cannon,509.99999999999994,,5.454545454545454,,,,,,,,1.0948523647765873,7.523809523809524,,8.901098901098901,1.0,,1.5490196078431373,0.2608695652173913,1.1198830409356726,0.23938461538461536,1.8603372434017595,0.16080402010050251,0.8235294117647058,1307.6923076923076,1307.6923076923076,,,,,,,0.2361111111111111,0.03132485719550396,,,
 Skywatcher AA,,,,,0.0052800734618916444,0.04831932773109243,7.84875784875785,3.0582259630087623,,2.548476454293629,,,,,,,,,,,,,,,,8.944444577727054,,2.439393939393939,9.864444444444445,,,,,,,1.8253968253968251
 Hercules AT Gun,2.8106666666666666,,0.04509090909090909,,,,,,,,0.04017598994343181,0.05453634085213033,,5.840000000000001,0.6455696202531646,,1.0,0.008169336384439356,0.32910822510822507,0.5531685393258428,0.9942096120440067,1.2364272844272843,0.24377358490566037,324.3076923076923,324.3076923076923,,,,,,,0.12114942528735632,0.01872279953814726,,,
 Zeus,644.0,,1.6847612818835842,,,,,,,,0.2068611075420789,1.869918699186992,,37.915151515151514,3.8333333333333335,,122.40896358543422,1.0,6.903248587570621,13.827878787878785,8.924611973392462,1.0147878787878788,2.538518518518518,4953.846153846153,4953.846153846153,,,,42.07466666666666,,,3.285714285714286,0.36808413351623226,,,
 Minotaur II,3.28,,0.05262032085561497,,,,,,,,0.06184789440603394,0.5206349206349206,,10.936708860759493,0.8929503916449086,,3.0385141534252345,0.14485933503836318,1.0,0.1267924528301887,1.3636363636363638,34.440000000000005,1.692307692307692,1513.8461538461538,1513.8461538461538,,,,0.26666666666666666,,,0.5046153846153847,0.07145969498910676,,,
 Hyperion II,23.214285714285715,,0.18237934904601572,,,,,,,,0.16423597424779923,1.6087516087516085,,39.63414634146341,4.177377892030849,,1.8077673058173545,0.07231767180925668,7.886904761904761,1.0,9.943181818181818,2.3434639326254123,10.016025641025642,5000.0,5000.0,,,,,0.12088525199925611,0.5005133470225872,1.3771186440677967,0.18019516522510534,,,
 Pandora II,35.2,,0.045714285714285714,,,,,,,,0.043728880938183265,0.1611721611721612,,3.9111111111111114,0.5375369458128079,,1.0058241118229472,0.11204968944099379,0.7333333333333333,0.10057142857142856,1.0,0.29333333333333333,4.976190476190476,541.5384615384615,541.5384615384615,,,,0.2716049382716049,,,0.20405797101449274,0.01849225111636459,,,
 Centurion Tank,9.0625,,0.1883116883116883,,,,,,,,0.06598072215422277,1.369047619047619,,9.97340425531915,6.21875,,0.8087818932782627,0.9854276158623986,0.02903600464576074,0.4267187499999999,3.409090909090909,1.0,89.0625,836.5384615384615,836.5384615384615,,,,,,,0.6397058823529411,0.11188271604938273,,,
 Watchman,5.368421052631579,,0.09046563192904657,,,,,,,,0.04093023255813953,0.16117216117216118,,10.461538461538462,1.2142857142857144,,4.102167182662539,0.3939305515027722,0.590909090909091,0.09983999999999998,0.20095693779904308,0.011228070175438597,1.0,1569.230769230769,1569.230769230769,0.18105263427684173,,0.22194357366771153,0.33142857142857146,,,0.21398601398601397,0.035527690700104496,,,
 Citizen,0.01625,,0.0003376623376623376,,,,,,,,0.0002651978784169726,0.0015476190476190477,,0.0065,0.0007647058823529412,,0.003083491461100569,0.0002018633540372671,0.0006605691056910569,0.0002,0.0018465909090909088,0.0011954022988505746,0.0006372549019607843,1.0,1.0,,,,,,,0.0006372549019607843,0.00011145404663923183,,,
 Female Citizen,0.01625,,0.0003376623376623376,,,,,,,,0.0002651978784169726,0.0015476190476190477,,0.0065,0.0007647058823529412,,0.003083491461100569,0.0002018633540372671,0.0006605691056910569,0.0002,0.0018465909090909088,0.0011954022988505746,0.0006372549019607843,1.0,1.0,,,,,,,0.0006372549019607843,0.00011145404663923183,,,
 Reaper Gunship,,,,0.09374999860301617,,,,,,,,,0.01794258346469209,,,0.11180124057005653,,,,,,,5.523255731650567,,,1.0,,0.5454545373266396,0.6081080990465914,,,,,,,
 Sea King II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Spectre AT Helicopter,,,,0.22916666666666669,,,,,,,,,0.13157894736842105,,,0.4099378881987578,,,,,,,4.5056497175141255,,,1.8333333606521285,,1.0,1.1081481481481483,,,,,,,
 Ares II,,,,0.2914507772020726,,,,,,,,,0.23527361449982573,,,0.10137418337463393,,0.023767270883508686,3.7499999999999996,,3.6818181818181817,,3.0172413793103448,,,1.6444444689485762,,0.9024064171122994,1.0,,,,,,,
 Sub - Hammerhead,,,,,,,,,,,,0.753968253968254,,,,,,,,8.272307692307692,,,,,,,,,,1.0,,,,,,
 Sub - Triton,6.666666666666666,,0.13852813852813856,,,,,,,,,,,,,,,,,1.997948717948718,,,,,,,,,,,,,,,,
 Khan Sun Do,25.5,,0.5298701298701299,,,,,,,,0.3121175030599755,2.428571428571429,,90.0,4.235294117647059,,8.25426944971537,0.3043478260869565,1.9817073170731705,0.7261538461538461,4.9005681818181825,1.5632183908045978,4.673202614379085,1569.230769230769,1569.230769230769,,,,,,,1.0,0.1748971193415638,,,
 Hu Kwan Do,145.8,,3.02961038961039,,,,,,,,1.7845777233782127,13.885714285714286,,567.0,31.923529411764708,,53.41081593927893,2.716770186335404,13.99390243902439,5.549538461538462,54.07670454545455,8.937931034482759,28.14705882352941,8972.307692307691,8972.307692307691,,,,,,,5.7176470588235295,1.0,,,
 Space Capital Ship,,0.9295570079883805,,,,,,,,4.484584241669261,,,,,,,,,,,,,,,,,,,,,,,,1.0,12.108108108108109,3.0857142857142854
 Space Corvette,,0.08714596949891068,,,,,,,,8.792569659442723,,,,,,,,,,,,,,,,,,,,,,,,0.08258928571428571,1.0,6.614906832298136
 Space Fighter,,0.04630285849279471,,0.3811111111111111,,,3.6786786786786787,1.4333772122275854,1.0270663421975446,1.4736842105263157,,,0.32376395534290275,,,0.5478260869565218,,,,,,,,,,,,,,,,,,0.32407407407407407,0.1511737089201878,1.0
