, Tower - Palisades, AA Missile Tower, Tower - Laser, Titan Bomber, B-122 Wyvern Bomber, Avenger Fighter/Bomber, Phoenix Fighter/Bomber, Nebula Fighter, Battleship - Leviathan, Frigate - Juggernaut, Cruiser - Sagittarian, Colossus Artillery, Paladin Cannon, Skywatcher AA, Guardian, Hercules AT Gun, Zeus, Minotaur II, Hyperion II, Pandora II, Centurion Tank, Citizen, Female Citizen, Reaper Gunship, Sea King II, Spectre AT Helicopter, Ares II, Sub - Hammerhead, Sub - Triton, Molly Ryan, Cyborg Molotov
 Minotaur II,3.28,,0.05512605042016806,,,,,,0.06184789440603394,0.5206349206349206,,10.936708860759493,0.8929503916449086,,3.6826347305389215,3.0385141534252345,0.14485933503836318,1.0,0.1267924528301887,1.3636363636363638,34.440000000000005,1513.8461538461538,1513.8461538461538,,,,0.26666666666666666,,,0.6055384615384616,0.095279593318809
 Hyperion II,23.214285714285715,,0.19106407995296887,,,,,,0.16423597424779923,1.6087516087516085,,39.63414634146341,4.177377892030849,,27.083333333333332,1.8077673058173545,0.07231767180925668,7.886904761904761,1.0,9.943181818181818,2.3434639326254123,5000.0,5000.0,,,,,0.12088525199925611,0.5005133470225872,1.652542372881356,0.2402602203001405
 Pandora II,35.2,,0.04789115646258503,,,,,,0.043728880938183265,0.1611721611721612,,3.9111111111111114,0.5375369458128079,,55.00000000000001,1.0058241118229472,0.11204968944099379,0.7333333333333333,0.10057142857142856,1.0,0.29333333333333333,541.5384615384615,541.5384615384615,,,,0.2716049382716049,,,0.24486956521739128,0.024656334821819455
 Centurion Tank,9.0625,,0.19727891156462585,,,,,,0.06598072215422277,1.369047619047619,,9.97340425531915,6.21875,,135.9375,0.8087818932782627,0.9854276158623986,0.02903600464576074,0.4267187499999999,3.409090909090909,1.0,836.5384615384615,836.5384615384615,,,,,,,0.7676470588235293,0.1491769547325103
 Citizen,0.01625,,0.0003537414965986394,,,,,,0.0002651978784169726,0.0015476190476190477,,0.0065,0.0007647058823529412,,0.005489864864864865,0.003083491461100569,0.0002018633540372671,0.0006605691056910569,0.0002,0.0018465909090909088,0.0011954022988505746,1.0,1.0,,,,,,,0.0007647058823529412,0.00014860539551897576
 Female Citizen,0.01625,,0.0003537414965986394,,,,,,0.0002651978784169726,0.0015476190476190477,,0.0065,0.0007647058823529412,,0.005489864864864865,0.003083491461100569,0.0002018633540372671,0.0006605691056910569,0.0002,0.0018465909090909088,0.0011954022988505746,1.0,1.0,,,,,,,0.0007647058823529412,0.00014860539551897576
 Reaper Gunship,,0.09374999860301617,,,,,,,,,0.01794258346469209,,,0.11180124057005653,14.26630413524159,,,,,,,,,1.0,,0.5454545373266396,0.6081080990465914,,,,
 Sea King II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Spectre AT Helicopter,,0.22916666666666669,,,,,,,,,0.13157894736842105,,,0.4099378881987578,9.46100917431193,,,,,,,,,1.8333333606521285,,1.0,1.1081481481481483,,,,
 Ares II,,0.2914507772020726,,,,,,,,,0.23527361449982573,,,0.10137418337463393,5.98404255319149,,0.023767270883508686,3.7499999999999996,,3.6818181818181817,,,,1.6444444689485762,,0.9024064171122994,1.0,,,,
 Sub - Hammerhead,,,,,,,,,,0.753968253968254,,,,,,,,,8.272307692307692,,,,,,,,,1.0,,,
 Sub - Triton,6.666666666666666,,0.145124716553288,,,,,,,,,,,,,,,,1.997948717948718,,,,,,,,,,,,
 Molly Ryan,21.25,,0.46258503401360535,,,,,,0.26009791921664627,2.0238095238095237,,75.0,3.529411764705882,,7.1790540540540535,6.878557874762809,0.2536231884057971,1.6514227642276422,0.6051282051282051,4.083806818181818,1.3026819923371649,1307.6923076923076,1307.6923076923076,,,,,,,1.0,0.19433013260173757
 Cyborg Molotov,109.35,,2.3804081632653062,,,,,,1.3384332925336597,10.414285714285713,,425.25,23.94264705882353,,36.942567567567565,40.0581119544592,2.037577639751553,10.495426829268293,4.162153846153846,40.55752840909091,6.703448275862068,6729.2307692307695,6729.2307692307695,,,,,,,5.145882352941176,1.0
