, Tower - Medieval, Tower - Palisades, Galleon - Renaissance, Battleship - Renaissance, Frigate - Renaissance, Crossbow, Pilum, Viking, Barbarian, Cavalry Archer, Long Bow, Long Sword, Pikeman, Trebuchet, Heavy Ram, Arquebus, Culverin, Basilisk, Royal Cuirassier, Carabineer, Citizen, Female Citizen, Isabella of Castile, Henry V
 Long Bow,0.003691428571428572,0.04037500000000001,0.1595061728395062,0.002068027210884354,0.009212121212121211,0.2708595387840671,5.209677419354839,0.07570312500000001,0.12666666666666668,0.5872727272727273,1.0,0.12011494252873564,0.6117424242424242,0.09426356589147286,,0.6797138047138046,0.055232558139534885,0.05823754789272031,0.047107438016528926,0.34545454545454546,9.938461538461539,9.938461538461539,0.05425889328063241,0.009328916072035337
 Long Sword,0.039771428571428576,0.43499999999999994,0.5728395061728395,0.06312925170068028,0.5624242424242424,1.4683544303797469,2.408602150537635,7.249999999999999,1.824175824175824,3.20855614973262,8.325358851674642,1.0,0.638888888888889,1.4387596899224808,,0.6916386083052749,3.372093023255814,0.888888888888889,0.46831955922865015,0.15401069518716576,71.38461538461539,71.38461538461539,0.14545454545454545,0.025008494733265375
 Pikeman,0.043885714285714285,0.48000000000000004,0.4740740740740741,0.03265306122448979,0.2909090909090909,0.5333333333333333,4.129032258064517,6.0,3.059340659340659,0.650479954827781,1.6346749226006194,1.5652173913043477,1.0,1.0716279069767443,,0.5347593582887701,2.7906976744186047,0.735632183908046,0.980068060281964,0.6844919786096256,29.53846153846154,29.53846153846154,0.16126482213438736,0.027726809378185526
 Trebuchet,1.2093749999999999,48.375,1.0858585858585859,0.70311100049776,1.9240677966101694,11.944444444444443,4.161290322580645,8.3984375,1.5504807692307694,2.9318181818181817,10.608552631578947,0.6950431034482758,0.9331597222222222,1.0,,2.764917695473251,5.112179487179488,0.6392144097222222,0.2309917355371901,1.2480650154798762,124.03846153846153,124.03846153846153,0.0973731884057971,0.014334862385321102
 Heavy Ram,1.4857142857142858,16.25,,,,,,,,,,,,,,,,,,,,,,
 Arquebus,0.02715428571428571,0.297,0.2346666666666667,0.015281632653061225,0.06807272727272728,0.396,10.219354838709677,4.455,2.7415384615384615,0.8838874680306905,1.4712074303405576,1.4458417849898582,1.8699999999999999,0.36167441860465116,,1.0,0.10046511627906986,0.256551724137931,0.07140495867768595,1.1728506787330315,14.621538461538465,14.621538461538465,0.10434782608695653,0.01794087665647299
 Culverin,0.06290285714285715,0.6880000000000001,0.16987654320987652,0.014508843537414967,0.12926060606060605,137.6,17.071960297766747,2.1500000000000004,0.6615384615384615,12.50909090909091,18.105263157894736,0.296551724137931,0.35833333333333334,0.19561128526645766,,9.953703703703695,1.0,0.13449718130569194,0.028429752066115702,1.6862745098039214,10.584615384615386,10.584615384615386,0.06798418972332017,0.011688752973156642
 Basilisk,3.68470588235294,78.3,3.866666666666667,1.3318950437317785,18.288,19.333333333333332,4.663027295285359,81.5625,2.5096153846153846,4.745454545454545,17.17105263157895,1.125,1.359375,1.564420302155831,,3.897849462365592,7.435100054083288,1.0,0.371900826446281,1.8277310924369747,200.76923076923077,200.76923076923077,0.23641304347826086,0.02494266055045872
 Royal Cuirassier,0.11062857142857144,1.21,1.1950617283950618,0.13170068027210885,1.1733333333333333,45.37499999999999,7.005789909015716,30.25,7.197948717948718,14.52,21.228070175438596,2.135294117647059,1.0203373015873016,4.329159212880143,,14.004629629629628,35.174418604651166,2.688888888888889,1.0,0.6057571964956195,74.46153846153847,74.46153846153847,0.4065217391304348,0.06989466530750935
 Carabineer,0.042742857142857145,0.46749999999999997,0.2031604938271605,0.0342312925170068,0.05110303030303029,9.35,4.640198511166253,5.843750000000001,71.92307692307693,2.274247491638796,2.8947368421052633,6.493055555555556,1.4609375000000002,0.8012403100775194,,0.8526234567901235,0.5930232558139535,0.5471264367816092,1.6508264462809918,1.0,21.576923076923077,21.576923076923077,0.24637681159420288,0.04236040321667233
 Citizen,0.001485714285714286,0.01625,0.03209876543209877,0.00235827664399093,0.01575757575757576,0.10833333333333332,0.16129032258064516,0.1015625,0.0625,0.05138339920948616,0.10061919504643961,0.014008620689655173,0.033854166666666664,0.00806201550387597,,0.06839225589225588,0.0944767441860465,0.004980842911877395,0.013429752066115703,0.04634581105169341,1.0,1.0,0.00642292490118577,0.0011043153244988109
 Female Citizen,0.001485714285714286,0.01625,0.03209876543209877,0.00235827664399093,0.01575757575757576,0.10833333333333332,0.16129032258064516,0.1015625,0.0625,0.05138339920948616,0.10061919504643961,0.014008620689655173,0.033854166666666664,0.00806201550387597,,0.06839225589225588,0.0944767441860465,0.004980842911877395,0.013429752066115703,0.04634581105169341,1.0,1.0,0.00642292490118577,0.0011043153244988109
 Isabella of Castile,0.23131428571428572,2.53,9.995061728395061,0.27537414965986395,2.4533333333333336,16.866666666666664,64.64388374321304,31.625000000000004,19.461538461538463,16.0,18.430158441085414,6.875,6.200980392156862,10.269767441860465,,9.583333333333334,14.709302325581394,4.2298850574712645,2.4598930481283423,4.058823529411765,155.6923076923077,155.6923076923077,1.0,0.17193340129119944
 Henry V,1.3453714285714287,14.715,58.133333333333326,1.6016326530612246,14.269090909090908,98.1,375.9821143404664,183.9375,113.1923076923077,93.0592885375494,107.19358951010746,39.98641304347826,36.06617647058823,69.76,,55.73863636363635,85.55232558139537,40.0919540229885,14.307243558580458,23.606951871657753,905.5384615384615,905.5384615384615,5.816205533596839,1.0
