, Tower - Palisades, Tower - Imperial, Cruiser - Gunboat, Galleon - Imperial, Battleship - Imperial, Frigate - Imperial, Culverin, Basilisk, Royal Cuirassier, Carabineer, Musketeer, Bombard, Halberdier, Sharpshooter, Hand Cannoneer, Elite Guard, Citizen, Female Citizen, Elizabeth I, Oliver Cromwell
 Musketeer,0.44687499999999997,0.021471471471471472,,0.24074074074074076,0.014565826330532213,0.06842105263157895,0.15116279069767455,0.38601532567049807,0.10743801652892562,1.7647058823529411,1.0,0.9551020408163267,1.1576190476190475,0.22698412698412698,1.2571428571428571,0.143265306122449,22.0,22.0,0.12175393784589185,0.01925925925925926
 Bombard,24.500000000000004,0.3895071542130366,,0.4949494949494949,0.26131551247215495,1.3725490196078431,1.650516795865633,0.32925925925925925,0.11570247933884298,0.6862745098039216,1.0470085470085468,1.0,0.2916666666666667,2.5925925925925926,1.0370370370370372,0.5416666666666667,62.82051282051282,62.82051282051282,0.04601457441214033,0.005337690631808278
 Halberdier,0.7000000000000001,0.033633633633633635,,0.4713804713804714,0.02875816993464052,0.27017543859649124,4.069767441860465,1.0727969348659003,2.121212121212121,1.7468805704099821,0.8638420403126286,3.4285714285714284,1.0,0.4444444444444444,2.4615384615384612,0.4897959183673469,86.15384615384616,86.15384615384616,0.17701149425287357,0.028
 Sharpshooter,0.21874999999999997,0.010510510510510511,,0.0883838383838384,0.0058823529411764705,0.05526315789473685,0.015261627906976744,0.14885057471264368,0.03254132231404959,0.2807486631016043,4.405594405594406,0.38571428571428573,2.25,1.0,5.538461538461538,1.083673469387755,24.230769230769234,24.230769230769234,0.12068965517241378,0.019090909090909092
 Hand Cannoneer,0.4739583333333333,0.022772772772772776,,0.19149831649831647,0.014705882352941176,0.1381578947368421,1.1382630813953487,0.34865900383141757,0.08135330578512397,0.6082887700534759,0.7954545454545454,0.9642857142857142,0.40625,0.18055555555555555,1.0,0.1683673469387755,17.5,17.5,0.0871647509578544,0.013787878787878788
 Elite Guard,0.6805555555555555,0.032699366032699365,,0.5499438832772165,0.026143790849673203,0.2456140350877193,0.15503875968992248,0.8449931412894375,0.14462809917355374,1.494553376906318,6.980056980056979,1.846153846153846,2.041666666666667,0.9227871939736348,5.9393939393939394,1.0,25.128205128205128,25.128205128205128,0.1877394636015326,0.0296969696969697
 Citizen,0.01625,0.0007807807807807809,,0.021885521885521883,0.0016184251478369126,0.011403508771929825,0.0944767441860465,0.004980842911877395,0.013429752066115703,0.04634581105169341,0.045454545454545456,0.015918367346938776,0.011607142857142856,0.04126984126984126,0.05714285714285714,0.03979591836734694,1.0,1.0,0.004980842911877394,0.0007878787878787878
 Female Citizen,0.01625,0.0007807807807807809,,0.021885521885521883,0.0016184251478369126,0.011403508771929825,0.0944767441860465,0.004980842911877395,0.013429752066115703,0.04634581105169341,0.045454545454545456,0.015918367346938776,0.011607142857142856,0.04126984126984126,0.05714285714285714,0.03979591836734694,1.0,1.0,0.004980842911877394,0.0007878787878787878
 Elizabeth I,3.2625,0.15675675675675677,,8.787878787878789,0.24369747899159666,2.289473684210526,18.968023255813954,6.0,3.3703512396694215,5.233957219251337,8.213286713286715,21.732244897959184,5.649350649350649,8.285714285714286,11.472527472527473,5.326530612244897,200.7692307692308,200.7692307692308,1.0,0.15818181818181817
 Oliver Cromwell,20.625,0.990990990990991,,55.55555555555556,1.5406162464985993,14.473684210526317,119.91279069767442,57.47126436781609,21.30681818181818,33.088235294117645,51.92307692307693,187.3469387755102,35.71428571428571,52.38095238095237,72.52747252747253,33.6734693877551,1269.2307692307693,1269.2307692307693,6.32183908045977,1.0
