, Tower - Palisades, 88mm AA Gun, Tower - Concrete, F-15 Fighter, B-2 Bomber, F-14 Fighter/Bomber, B-52 Bomber, A-10 Anti-Tank, F-117 Fighter/Bomber, Battleship - Bismarck, Frigate - Warrington, Machine Gun, Artillery, Flak Halftrack, Howitzer Cannon, Sniper, Marine, Bazooka, Flame Thrower, 120mm AT Gun, Stinger Soldier, M1 Tank (HE), Heavy Mortar, Leopard Tank (AP), Citizen, Female Citizen, Helicopter Anti-Tank, Sea King, Helicopter Gunship, Sub - Nautilus, Sub - Trident, RW Bresden, Dennis St. Albans
 Frigate - Warrington,2.176,,0.07935270655270657,,,,,,,0.1190046486190867,1.0,136.0,3.6487356321839077,,0.31418181818181806,53.72839506172839,21.044487427466148,17.407999999999998,253.02325581395348,34.160125588697014,,0.9066666666666665,11.377777777777778,0.6799999999999998,334.7692307692308,334.7692307692308,,,,1.2088888888888887,,0.45333333333333337,0.1054876866395191
 Machine Gun,0.64,,0.023339031339031337,,,,,,,0.0008750341810226963,0.007352941176470588,1.0,0.5140562248995983,,0.29211618257261407,0.8001250195343023,4.806007509386733,12.287999999999998,5.5813953488372094,0.8925085067217046,,0.016850974196945763,2.1135190918472655,0.012638230647709322,39.38461538461539,39.38461538461539,,,,,,0.08,0.018615474112856314
 Artillery,39.375,,0.42510121457489874,,,,,,,0.1146453435576632,0.2740675403225807,1.9453125,1.0,,0.21130434782608698,2.430555555555556,0.4363364361702128,1.75,3.052325581395349,0.27771141901576685,,0.16435185185185183,0.6176470588235295,0.12326388888888888,100.96153846153847,100.96153846153847,,,,,,0.015775240384615384,0.0033293254596371605
 Flak Halftrack,,,,,0.04017857142857143,6.3870555673834355,0.0042293233082706765,0.4192546750447765,3.444976076555024,,,,,,,,,,,,,,,,,,2.4705882352941178,,8.75,,,,
 Howitzer Cannon,187.5,,3.2051282051282053,,,,,,,0.6790226526409529,3.1828703703703716,3.423295454545455,4.732510288065844,,1.0,9.850275807722616,1.7048554282596835,20.0,6.056201550387597,1.1922040223927017,,0.023843586075345726,2.748763056624519,0.017882689556509297,480.7692307692308,480.7692307692308,,,,,,0.1736111111111111,0.03305304352424771
 Sniper,0.33749999999999997,,0.012307692307692308,,,,,,,0.0022149302707136997,0.018612132352941176,1.2498046875,0.4114285714285714,,0.10152,1.0,1.9885433715220946,7.776000000000001,4.52093023255814,0.27647352647352647,,0.0013636363636363637,3.811764705882353,0.0010227272727272728,37.38461538461539,37.38461538461539,,,,,,0.050625,0.011780104712041887
 Marine,1.0183333333333333,,0.037135802469135795,,,,,,,0.011309816789718348,0.04751838235294118,0.2080729166666667,2.291809523809524,,0.58656,0.5028806584362141,1.0,3.9104,2.273488372093023,2.5824175824175826,,0.009494949494949495,1.9168627450980396,0.007121212121212121,75.2,75.2,0.05111633986928104,,0.022281481481481475,,,0.10183333333333333,0.023695947256156685
 Bazooka,0.5208333333333334,,0.01899335232668566,,,,,,,0.006836204539239814,0.057444852941176475,0.08138020833333334,0.5714285714285714,,0.049999999999999996,0.1286008230452675,0.25572831423895254,1.0,0.5813953488372093,0.49950049950049946,,0.25252525252525254,0.49019607843137253,0.1893939393939394,19.23076923076923,19.23076923076923,,,,,,0.026041666666666668,0.006059724646112081
 Flame Thrower,2.6875,,0.09800569800569801,,,,,,,0.04468143286847143,0.003952205882352941,0.17916666666666667,0.3276190476190476,,0.16512,0.22119341563786007,0.4398527004909984,1.72,1.0,0.1073926073926074,,0.008686868686868687,0.8431372549019608,0.0065151515151515155,33.07692307692308,33.07692307692308,,,,,,0.04479166666666667,0.010422726391312778
 120mm AT Gun,1.001,,0.0365037037037037,,,,,,,0.028865190046486196,0.029273897058823533,1.1204375000000002,3.6008602150537636,,0.8387826086956521,3.616982836495032,0.3872340425531915,2.0020000000000002,9.311627906976744,1.0,,1.133245324532453,0.5541868512110727,2.325555555555556,30.8,30.8,,,,,,0.10427083333333333,0.02426313748303277
 Stinger Soldier,,,,,0.013013392857142857,2.0686963309914126,0.0013698308270676692,0.13579193086172484,1.1157894736842104,,,,,,,,,,,,,,,,,,0.8001960784313725,,2.8340277777777776,,,,
 M1 Tank (HE),4.125,,0.15042735042735045,,,,,,,0.04922067268252665,1.1029411764705883,59.34375,6.084507042253522,,41.94000000000001,733.3333333333334,105.31914893617021,3.9599999999999995,115.11627906976744,0.882421465460335,,1.0,7.764705882352942,0.2295302013422818,380.7692307692308,380.7692307692308,,,,,,0.61875,0.14397905759162302
 Heavy Mortar,1.0625,,0.038746438746438745,,,,,,,0.010459392945036915,0.087890625,0.47314453125,1.6190476190476188,,0.36379999999999996,0.2623456790123457,0.5216857610474631,2.04,1.186046511627907,1.8044455544455544,,0.12878787878787878,1.0,0.048295454545454544,39.23076923076923,39.23076923076923,,,,,,0.053125,0.012361838278068646
 Leopard Tank (AP),5.5,,0.2005698005698006,,,,,,,0.06562756357670221,1.470588235294118,79.12499999999999,8.112676056338028,,55.92000000000001,977.7777777777777,140.4255319148936,5.279999999999999,153.48837209302326,0.43000477783086477,,4.356725146198832,20.705882352941178,1.0,507.6923076923077,507.6923076923077,,,,,,0.5499999999999999,0.12798138452588714
 Citizen,0.01625,,0.0005925925925925926,,,,,,,0.0004739768480539605,0.0029871323529411763,0.025390625,0.009904761904761904,,0.00208,0.026748971193415634,0.01329787234042553,0.052,0.030232558139534883,0.03246753246753247,,0.0026262626262626263,0.025490196078431372,0.00196969696969697,1.0,1.0,,,,,,0.0013541666666666667,0.0003151056815978282
 Female Citizen,0.01625,,0.0005925925925925926,,,,,,,0.0004739768480539605,0.0029871323529411763,0.025390625,0.009904761904761904,,0.00208,0.026748971193415634,0.01329787234042553,0.052,0.030232558139534883,0.03246753246753247,,0.0026262626262626263,0.025490196078431372,0.00196969696969697,1.0,1.0,,,,,,0.0013541666666666667,0.0003151056815978282
 Helicopter Anti-Tank,,0.265625,,,,,,,,,,,,0.40476190476190477,,,19.563216039279872,,,,1.2496937025238912,,,,,,1.0,,1.4756944444444444,,,,
 Sea King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Helicopter Gunship,,0.075,,,,,,,,,,,,0.11428571428571428,,,44.88031914893618,,,,0.35285469247733403,,,,,,0.6776470588235295,,1.0,,,,
 Sub - Nautilus,,,,,,,,,,,0.8272058823529412,,,,,,,,,,,,,,,,,,,1.0,,,
 Sub - Trident,4.266666666666667,,0.15559354226020894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 RW Bresden,12.0,,0.4376068376068376,,,,,,,0.26251025430680885,2.205882352941176,12.5,63.390476190476186,,5.76,19.753086419753085,9.819967266775777,38.4,22.325581395348834,9.59040959040959,,1.6161616161616161,18.823529411764707,1.8181818181818183,738.4615384615385,738.4615384615385,,,,,,1.0,0.23269342641070392
 Dennis St. Albans,51.57,,1.8806153846153848,,,,,,,1.128137817883511,9.479779411764707,53.71874999999999,300.36114285714285,,30.2544,84.88888888888889,42.2013093289689,165.02399999999997,95.94418604651163,41.21478521478521,,6.945454545454546,80.89411764705882,7.8136363636363635,3173.5384615384614,3173.5384615384614,,,,,,4.297499999999999,1.0
