,a HelicopterGunShip13 Reaper,a Helicopter Sea King II 13,a BomberNuc13 Titan,a Strafe Fighter13 Talon,Gun Artillery13 Colossus,s13 Leviathon Battleship,a Bomber 13 B-122 Wyvern,a HelicopterAT13 Spectre,b  AA13 Missile Tower,Inf13 - Sentinel,Tank13 Gladiator,Mech Minotaur,Mech Ares,a Fighter13 F-48 Jackal,h1-13 Alexi Septimus (heal),h2-13 Sergei Molotov (Morale),s13 Juggernaut Frigate,Gun AT13 Thor AT Gun,Mech Furies,Mech Pandora,Mech Tempest,Mech Hyperion,s13 Digital Fishing Boat,s13 Sagitarian Cruiser,b  Guard Tower - Digital,Gun Siege13 Paladin Cannon,13 AA Tank Skywatcher,a CarrierFighter13 Avenger,14 Anti Missile Battery,b  Space Turret
Mech Ares,0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.5,0.3,1.0,1.0,2.0,1.4,0.0,1.0,1.0,1.0,1.3,1.0,1.4,1.4,1.5,1.0,1.0,0.5,1.0,0.2,0.0,0.2,0.5
a Fighter13 F-48 Jackal,1.0,1.0,1.4,1.25,0.0,0.0,1.4,1.0,0.0,0.0,0.0,0.0,1.5,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0
h1-13 Alexi Septimus (heal),0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.9,0.25,0.5,0.0,0.0,1.0,1.0,1.0,0.4,0.5,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
h2-13 Sergei Molotov (Morale),0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.9,0.25,0.5,0.0,0.0,1.0,1.0,1.0,0.4,0.5,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
s13 Juggernaut Frigate,0.0,0.0,0.0,0.0,0.3,1.0,0.0,0.0,1.0,2.0,0.15,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.3,1.0,0.0,1.0,0.4
Gun AT13 Thor AT Gun,0.0,0.0,0.0,0.0,1.5,2.0,0.0,0.0,1.0,1.0,2.65,2.12,0.0,0.0,1.0,1.0,1.0,1.75,2.6,1.7,1.7,3.5,1.0,1.0,1.0,1.5,1.0,0.0,1.0,1.0
Mech Furies,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Mech Pandora,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.25,1.2,1.7,1.0,0.0,1.0,1.0,1.0,0.58,1.1,1.15,1.15,1.1,1.0,1.0,0.5,1.0,1.0,0.0,1.0,0.5
Mech Tempest,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,12.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Mech Hyperion,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.5,1.5,1.0,0.65,1.2,1.3,1.3,1.4,1.0,1.0,0.5,1.0,1.0,0.0,1.0,0.5
s13 Digital Fishing Boat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s13 Sagitarian Cruiser,1.0,1.0,1.4,1.25,0.0,0.0,1.4,1.0,0.0,0.0,0.0,0.0,1.5,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0
b  Guard Tower - Digital,0.0,0.0,0.0,0.0,0.12,1.0,0.0,0.0,1.0,0.6,0.3,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.12,1.0,0.0,1.0,1.0
Gun Siege13 Paladin Cannon,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,1.0,0.2,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.75,0.75,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,3.0
13 AA Tank Skywatcher,1.4,1.4,2.0,1.0,0.0,0.0,1.5,1.4,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
a CarrierFighter13 Avenger,0.8,0.8,1.4,1.25,1.0,3.0,1.4,0.8,0.11,1.0,0.5,1.0,2.25,1.25,0.5,0.5,1.9,1.0,1.0,1.0,1.0,1.0,1.9,1.9,0.15,1.0,0.11,1.25,0.11,0.15
14 Anti Missile Battery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b  Space Turret,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
