,a Fighter11 Spitfire,Inf11 - Marine,a BomberNuc11 B-29,a Strafe Fighter11 ME109,a Fighter11 P51,a Bomber 11 B-17,a AT Fighter11 Typhoon,a CarrierFighter11 Corsair1,a Strafe Fighter11 ME262,Inf11 - Bazooka Infantry,s11 Bismarck Battleship,Inf11 - Flame Thrower,Tank11 Panzer,h1-11 Rommel (heal),s11 Fishing Boat Modern,s11 Warrington,a Bomber 11 Heinkel 111,Tank11 Sherman,h2-11 Shackelford (Morale),cp Missile Base,Inf10 - SAS Explosive Expert,Tank11 Sherman - Flamethrower,a Carrier Fighter11 Dauntless,a Carrier Fighter11 Zero,a Strafe Fighter11 Zero,h Lt. Stock,Hero Bulldog Ramsey (Morale)
s11 Bismarck Battleship,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,0.0,0.4,1.0,0.35,1.0,0.4,0.0,0.0,0.0,1.0,1.0
Inf11 - Flame Thrower,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.2,1.0,1.0,1.0,0.0,0.2,1.0,1.5,1.0,0.2,0.0,0.0,0.0,1.0,1.0
Tank11 Panzer,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.75,2.0,1.0,1.0,0.0,1.9,2.0,0.2,2.0,1.9,0.0,0.0,0.0,2.0,2.0
h1-11 Rommel (heal),0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,0.25,1.0,0.5,0.9,0.25,0.0,0.0,0.0,1.0,1.0
s11 Fishing Boat Modern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s11 Warrington,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.15,1.0,1.0,1.0,0.0,0.15,1.0,0.45,2.0,0.15,0.0,0.0,0.0,1.0,1.0
a Bomber 11 Heinkel 111,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.5,2.5,1.0,1.0,0.0,0.5,2.5,3.0,1.0,0.5,0.0,0.0,0.0,2.5,2.5
Tank11 Sherman,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.96,1.5,1.0,1.0,0.0,1.3,1.5,0.5,2.0,1.3,0.0,0.0,0.0,1.5,1.5
h2-11 Shackelford (Morale),0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,0.25,1.0,0.5,0.9,0.25,0.0,0.0,0.0,1.0,1.0
cp Missile Base,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Inf10 - SAS Explosive Expert,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9,0.9,1.0,1.0,0.0,0.9,0.9,0.1,0.9,0.9,0.0,0.0,0.0,0.9,0.9
Tank11 Sherman - Flamethrower,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.2,1.0,1.0,1.0,0.0,0.2,1.0,1.5,1.0,0.2,0.0,0.0,0.0,1.0,1.0
a Carrier Fighter11 Dauntless,1.25,1.0,1.4,1.25,1.25,1.4,1.25,1.25,1.25,1.0,3.0,1.0,0.5,0.5,1.9,1.9,1.4,0.5,0.5,0.15,1.0,0.5,1.25,1.25,1.25,0.5,0.5
a Carrier Fighter11 Zero,1.25,1.0,1.4,1.25,1.25,1.4,1.25,1.25,1.25,1.0,3.0,1.0,0.5,0.5,1.9,1.9,1.4,0.5,0.5,0.15,1.0,0.5,1.25,1.25,1.25,0.5,0.5
a Strafe Fighter11 Zero,0.45,1.0,1.4,0.45,0.45,1.4,0.45,0.45,0.45,1.0,0.75,1.0,0.35,0.5,0.75,0.75,1.4,0.35,0.5,0.15,1.0,0.35,0.45,0.45,0.45,0.5,0.5
h Lt. Stock,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,0.25,1.0,0.5,0.9,0.25,0.0,0.0,0.0,1.0,1.0
Hero Bulldog Ramsey (Morale),0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,0.25,1.0,0.5,0.9,0.25,0.0,0.0,0.0,1.0,1.0
