,a Strafe Fighter10 Fokker DR.1,a Fighter10 Sopwith Camel F.1,Gun AT10 57mm AT Gun,Inf10 - Machine Gun,Hovercraft 1,Gun Artillery10 Artillery,b  AA10 Gun 88mm,10 AA - Tank,Inf10 - Trench Mortar,Tank10  Mk V,s10 Cruiser,s10 Good Hope Frigate,h1-10 DeVerran (heal),Inf10 - Doughboy,s10 U Boat,b  Tank Obstacle,a Bomber 10 Gotha,s10 Naval Mine,Tank10 A7V,s10 Dreadnought Battleship,b  Guard Tower - WW1,Gun Siege10 Howitzer Cannon,Inf10 - Grenade Launcher,Inf10 - Sniper,h2-10 von Richtofen (Morale),a Catalina,Inf10 - Radio Man
s10 Cruiser,1.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0
s10 Good Hope Frigate,0.0,0.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,0.15,1.0,1.0,1.0,2.0,1.0,0.45,0.0,1.0,0.15,1.0,0.4,0.3,1.0,1.0,1.0,0.0,1.0
h1-10 DeVerran (heal),0.0,0.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.9,0.0,0.5,0.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Inf10 - Doughboy,0.0,0.0,1.25,0.5,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9,0.9,0.0,0.1,0.0,0.0,0.9,1.0,0.5,1.0,1.0,1.0,0.9,0.0,1.0
s10 U Boat,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b  Tank Obstacle,0.0,0.0,1.75,1.1,1.0,1.5,1.0,1.0,1.0,2.65,1.0,1.0,1.0,1.0,0.0,0.4,0.0,0.0,4.5,2.0,1.0,1.5,1.0,1.0,1.0,0.0,1.0
a Bomber 10 Gotha,0.0,0.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.5,1.0,0.0,3.0,0.0,0.0,0.5,4.0,2.0,1.0,1.0,1.0,2.5,0.0,1.0
s10 Naval Mine,0.0,0.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0,0.15,1.0,1.0,1.0,2.0,1.0,0.45,0.0,1.0,0.15,1.0,0.4,0.3,1.0,1.0,1.0,0.0,1.0
Tank10 A7V,0.0,0.0,0.5,2.0,1.0,1.0,1.0,1.0,2.0,1.9,1.0,1.0,2.0,2.0,0.0,0.2,0.0,0.0,1.75,1.0,1.0,0.33,2.0,2.0,2.0,0.0,2.0
s10 Dreadnought Battleship,0.0,0.0,0.5,1.0,1.0,0.3,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.0,0.35,0.0,1.0,0.4,1.0,0.4,0.3,1.0,1.0,1.0,0.0,1.0
b  Guard Tower - WW1,0.0,0.0,0.5,0.5,1.0,0.12,1.0,1.0,0.6,0.3,1.0,1.0,1.0,0.6,1.0,0.12,0.0,0.0,0.3,1.0,1.0,0.12,0.6,0.6,1.0,0.0,0.6
Gun Siege10 Howitzer Cannon,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.0,1.5,0.0,0.0,0.2,5.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0
Inf10 - Grenade Launcher,0.0,0.0,0.8,0.5,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Inf10 - Sniper,0.0,0.0,0.85,12.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,3.0,12.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,12.0,12.0,3.0,0.0,12.0
h2-10 von Richtofen (Morale),0.0,0.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.9,0.0,0.5,0.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
a Catalina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inf10 - Radio Man,0.0,0.0,1.25,0.5,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9,0.9,0.0,0.1,0.0,0.0,0.9,1.0,0.5,1.0,1.0,1.0,0.9,0.0,1.0
